"Blocking Key Value","Frequency"
"FIG","1170"
"SEG","1152"
"COL","1116"
"NIN","1080"
"SIN","1056"
"SPE","1040"
"BRA","1012"
"BIO","962"
"ALL","957"
"MAG","943"
"DIS","14000"
"DON","918"
"FIF","13167"
"FAR","902"
"PRO","12760"
"MAD","12296"
"NHL","11948"
"DEA","10764"
"MON","9176"
"HAR","8772"
"WAR","7684"
"FIN","6624"
"THE","499488"
"STA","34255"
"NBA","30780"
"SUP","27405"
"DRA","24073"
"LEG","22464"
"WOR","19596"
"TOM","18602"
"BAT","16422"
"MAR","16368"
"NCA","6232"
"NEE","5986"
"STR","5963"
"MET","5893"
"GRA","5695"
"BLA","5600"
"SON","5402"
"CAL","5236"
"RES","5037"
"SHA","4888"
"DAR","4770"
"SHI","4601"
"NFL","4425"
"MEG","4402"
"TRA","4216"
"ARM","4118"
"TON","3953"
"TIG","3900"
"CRA","3575"
"ROC","3432"
"MLB","3363"
"KIN","3300"
"GUI","3198"
"CAR","3100"
"WWE","3008"
"SPI","2968"
"POK","2958"
"MOT","2907"
"COM","2814"
"NAS","2808"
"DAN","2442"
"CHA","2340"
"NAR","2310"
"FRO","2300"
"VIR","2256"
"CON","2183"
"MAJ","2106"
"PRI","2100"
"SAM","2080"
"PAC","2072"
"MED","2058"
"DYN","2052"
"FOR","1872"
"CAS","1849"
"ASS","1794"
"TRI","1785"
"SOU","1739"
"SPA","1683"
"RAY","1681"
"ALI","1656"
"JAM","1632"
"MOR","1591"
"GUN","1584"
"MIN","1536"
"ULT,ESP","1521"
"BLO","1410"
"PLA","1386"
"WIN","1344"
"JUS","1334"
"DES","1320"
"MYS","1296"
"HOT","1260"
"SIL","1240"
"MID","1225"
"TAL","1215"
"RED","1196"
"GOD","1189"
"XME","1188"
